attemps,experience,GPT-3,GPT-3.5,GPT-4,Gemini,LLaMA,Claude,
1,beginner,33,45,64,34,63,48,35
2,beginner,56,74,22,10,84,39,40
3,beginner,52,85,63,69,76,87,5
4,beginner,68,15,92,82,47,82,56
5,beginner,17,75,85,20,66,86,85
6,beginner,11,49,79,59,20,76,29
7,beginner,68,41,57,43,8,15,69
8,beginner,59,38,80,30,23,16,46
9,beginner,73,59,24,5,82,48,70
10,beginner,14,58,15,10,81,45,24
11,beginner,11,74,61,49,5,40,89
12,beginner,10,36,19,85,74,91,100
13,beginner,90,47,89,30,84,59,19
14,beginner,29,45,41,71,30,98,14
15,beginner,63,30,85,54,44,58,32
16,beginner,6,92,24,9,60,17,7
17,beginner,12,76,28,71,58,54,47
18,beginner,44,9,48,34,55,76,46
19,beginner,86,66,93,26,95,42,58
20,beginner,30,50,33,72,76,25,11
21,beginner,9,24,92,88,65,77,49
22,beginner,10,25,91,90,38,94,83
23,beginner,7,98,57,5,82,53,67
24,beginner,12,5,79,92,65,14,77
25,beginner,14,75,45,70,75,7,18
26,beginner,67,94,30,33,93,96,71
27,beginner,58,94,86,45,70,82,19
28,beginner,56,41,55,33,86,46,34
29,beginner,99,67,57,90,43,100,65
30,beginner,20,66,5,38,81,66,53
31,beginner,83,97,55,51,40,83,97
32,beginner,7,21,60,76,71,10,18
33,beginner,24,63,70,100,76,49,55
34,beginner,14,20,44,11,51,18,40
35,beginner,97,24,43,83,72,25,50
36,beginner,17,53,27,49,97,83,68
37,beginner,59,47,63,93,5,24,43
38,beginner,21,31,18,38,30,77,50
39,beginner,24,37,88,17,66,47,27
40,beginner,52,32,7,80,15,73,14
41,beginner,97,25,7,53,20,25,75
42,beginner,68,26,87,100,45,84,53
43,beginner,23,32,47,71,25,81,65
44,beginner,71,27,13,90,7,60,60
45,beginner,53,55,15,62,17,30,90
46,beginner,100,49,91,7,31,72,66
47,beginner,57,98,14,20,24,30,74
48,beginner,49,69,100,70,95,44,79
49,beginner,6,100,39,31,23,90,37
50,beginner,89,51,37,34,26,67,68
1,advanced,19,96,80,5,83,12,49
2,advanced,91,72,45,90,30,5,96
3,advanced,61,34,81,14,77,12,88
4,advanced,51,61,19,88,86,92,50
5,advanced,6,50,8,94,15,50,41
6,advanced,85,24,55,72,67,41,59
7,advanced,61,89,37,13,14,70,72
8,advanced,64,22,13,53,63,78,66
9,advanced,51,72,45,97,19,45,18
10,advanced,71,95,53,93,88,71,13
11,advanced,46,84,23,51,70,51,75
12,advanced,43,26,59,57,86,31,9
13,advanced,71,27,45,90,14,96,7
14,advanced,15,46,18,38,15,62,71
15,advanced,71,99,82,25,80,85,27
16,advanced,9,69,94,86,95,33,35
17,advanced,57,55,94,18,8,87,72
18,advanced,99,54,85,46,88,43,11
19,advanced,73,5,24,5,57,30,10
20,advanced,23,20,94,31,56,91,89
21,advanced,94,18,42,24,66,71,40
22,advanced,26,27,46,94,8,91,46
23,advanced,78,58,61,66,48,97,94
24,advanced,10,19,94,50,8,40,61
25,advanced,100,94,100,71,25,66,70
26,advanced,52,52,15,56,13,85,53
27,advanced,44,51,41,7,75,53,12
28,advanced,52,30,67,33,84,90,55
29,advanced,80,68,68,79,49,89,95
30,advanced,51,15,70,42,85,58,26
31,advanced,18,46,70,50,30,54,55
32,advanced,71,18,88,44,72,92,24
33,advanced,34,46,68,31,34,16,56
34,advanced,88,71,58,19,85,54,32
35,advanced,14,21,32,10,14,21,93
36,advanced,83,61,71,24,35,56,69
37,advanced,62,26,20,91,48,88,10
38,advanced,59,97,24,85,34,41,80
39,advanced,10,69,88,60,28,27,7
40,advanced,29,37,97,95,59,90,32
41,advanced,10,35,81,94,16,69,16
42,advanced,5,8,28,24,7,17,100
43,advanced,57,32,18,96,99,54,60
44,advanced,53,95,64,18,60,46,64
45,advanced,9,74,91,48,5,44,13
46,advanced,92,32,93,47,56,58,41
47,advanced,6,21,7,89,30,65,26
48,advanced,22,54,67,86,41,72,81
49,advanced,97,11,7,92,51,40,14
50,advanced,49,76,62,25,94,64,55
